result-school-link,result-school-link href,value 5,visuallyhidden 9,value 6,visuallyhidden 10,value 7,visuallyhidden 11,value 8,button-comparison-add,button-comparison-add href,text-add,text-create
"St John the Baptist Catholic Comprehensive School, Woking",https://www.compare-school-performance.service.gov.uk/school/143369/st-john-the-baptist-catholic-comprehensive-school%2c-woking,"98%
(193 of 197 pupils)",Grade 5 or above in English & maths GCSEs,81%,Attainment 8 score,62.5,EBacc average point score,5.64,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/143369/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Wilson's School,https://www.compare-school-performance.service.gov.uk/school/136621/wilson's-school,"100%
(152 of 152 pupils)",Grade 5 or above in English & maths GCSEs,100%,Attainment 8 score,82.9,EBacc average point score,8.02,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136621/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Feversham Academy,https://www.compare-school-performance.service.gov.uk/school/136962/feversham-academy,"97%
(92 of 95 pupils)",Grade 5 or above in English & maths GCSEs,49%,Attainment 8 score,53.9,EBacc average point score,4.44,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136962/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
The Holy Cross School,https://www.compare-school-performance.service.gov.uk/school/138459/the-holy-cross-school,"98%
(143 of 146 pupils)",Grade 5 or above in English & maths GCSEs,69%,Attainment 8 score,60.4,EBacc average point score,5.11,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/138459/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Queen Elizabeth's Girls' School,https://www.compare-school-performance.service.gov.uk/school/137131/queen-elizabeth's-girls'-school,"98%
(171 of 175 pupils)",Grade 5 or above in English & maths GCSEs,66%,Attainment 8 score,60.6,EBacc average point score,5.76,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137131/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
St Mark's Catholic School,https://www.compare-school-performance.service.gov.uk/school/137995/st-mark's-catholic-school,"98%
(172 of 176 pupils)",Grade 5 or above in English & maths GCSEs,71%,Attainment 8 score,61.5,EBacc average point score,5.88,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137995/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Dr Challoner's High School,https://www.compare-school-performance.service.gov.uk/school/137219/dr-challoner's-high-school,"99%
(154 of 156 pupils)",Grade 5 or above in English & maths GCSEs,100%,Attainment 8 score,78.7,EBacc average point score,7.73,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137219/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Villiers High School,https://www.compare-school-performance.service.gov.uk/school/101928/villiers-high-school,"94%
(180 of 191 pupils)",Grade 5 or above in English & maths GCSEs,47%,Attainment 8 score,48.3,EBacc average point score,4.14,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/101928/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Dartford Grammar School for Girls,https://www.compare-school-performance.service.gov.uk/school/144100/dartford-grammar-school-for-girls,"99%
(158 of 159 pupils)",Grade 5 or above in English & maths GCSEs,98%,Attainment 8 score,75.3,EBacc average point score,7.14,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/144100/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Yesodey Hatorah Senior Girls School,https://www.compare-school-performance.service.gov.uk/school/133599/yesodey-hatorah-senior-girls-school,"95%
(53 of 56 pupils)",Grade 5 or above in English & maths GCSEs,65%,Attainment 8 score,55.9,EBacc average point score,4.18,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/133599/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
"Queen Elizabeth's School, Barnet",https://www.compare-school-performance.service.gov.uk/school/136290/queen-elizabeth's-school%2c-barnet,"100%
(181 of 181 pupils)",Grade 5 or above in English & maths GCSEs,100%,Attainment 8 score,84.6,EBacc average point score,8.38,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136290/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Dixons Kings Academy,https://www.compare-school-performance.service.gov.uk/school/137277/dixons-kings-academy,"90%
(144 of 160 pupils)",Grade 5 or above in English & maths GCSEs,66%,Attainment 8 score,56,EBacc average point score,5.2,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137277/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=1&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
