result-school-link,result-school-link href,value 5,visuallyhidden 9,value 6,visuallyhidden 10,value 7,visuallyhidden 11,value 8,button-comparison-add,button-comparison-add href,text-add,text-create
Watford Grammar School for Girls,https://www.compare-school-performance.service.gov.uk/school/136289/watford-grammar-school-for-girls,"98%
(176 of 180 pupils)",Grade 5 or above in English & maths GCSEs,89%,Attainment 8 score,71,EBacc average point score,6.64,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136289/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Menorah High School for Girls,https://www.compare-school-performance.service.gov.uk/school/142627/menorah-high-school-for-girls,"97%
(34 of 35 pupils)",Grade 5 or above in English & maths GCSEs,85%,Attainment 8 score,62.2,EBacc average point score,6.31,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/142627/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Beacon Academy,https://www.compare-school-performance.service.gov.uk/school/137982/beacon-academy,"94%
(173 of 184 pupils)",Grade 5 or above in English & maths GCSEs,65%,Attainment 8 score,54,EBacc average point score,4.86,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137982/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Herschel Grammar School,https://www.compare-school-performance.service.gov.uk/school/137726/herschel-grammar-school,"100%
(120 of 120 pupils)",Grade 5 or above in English & maths GCSEs,94%,Attainment 8 score,74,EBacc average point score,6.63,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137726/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Tunbridge Wells Girls' Grammar School,https://www.compare-school-performance.service.gov.uk/school/118789/tunbridge-wells-girls'-grammar-school,"100%
(145 of 145 pupils)",Grade 5 or above in English & maths GCSEs,95%,Attainment 8 score,73.8,EBacc average point score,7.18,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/118789/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Featherstone High School,https://www.compare-school-performance.service.gov.uk/school/137729/featherstone-high-school,"99%
(234 of 236 pupils)",Grade 5 or above in English & maths GCSEs,56%,Attainment 8 score,52.8,EBacc average point score,4.96,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137729/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Madani Girls' School,https://www.compare-school-performance.service.gov.uk/school/129645/madani-girls'-school,"74%
(43 of 58 pupils)",Grade 5 or above in English & maths GCSEs,67%,Attainment 8 score,56.5,EBacc average point score,4.61,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/129645/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Mossbourne Victoria Park Academy,https://www.compare-school-performance.service.gov.uk/school/140210/mossbourne-victoria-park-academy,,Grade 5 or above in English & maths GCSEs,64%,Attainment 8 score,58.6,EBacc average point score,5.8,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/140210/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Reading Girls' School,https://www.compare-school-performance.service.gov.uk/school/144610/reading-girls'-school,,Grade 5 or above in English & maths GCSEs,58%,Attainment 8 score,52.9,EBacc average point score,4.19,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/144610/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Wren Academy Finchley,https://www.compare-school-performance.service.gov.uk/school/135507/wren-academy-finchley,"97%
(171 of 177 pupils)",Grade 5 or above in English & maths GCSEs,77%,Attainment 8 score,62.3,EBacc average point score,5.81,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/135507/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Sutton Grammar School,https://www.compare-school-performance.service.gov.uk/school/136787/sutton-grammar-school,"98%
(119 of 121 pupils)",Grade 5 or above in English & maths GCSEs,100%,Attainment 8 score,81.2,EBacc average point score,7.43,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136787/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Manor High School,https://www.compare-school-performance.service.gov.uk/school/137120/manor-high-school,,Grade 5 or above in English & maths GCSEs,62%,Attainment 8 score,55.3,EBacc average point score,5.47,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137120/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Northwood School,https://www.compare-school-performance.service.gov.uk/school/137829/northwood-school,"88%
(49 of 56 pupils)",Grade 5 or above in English & maths GCSEs,45%,Attainment 8 score,52.9,EBacc average point score,4.72,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137829/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Weald of Kent Grammar School,https://www.compare-school-performance.service.gov.uk/school/136455/weald-of-kent-grammar-school,"99%
(168 of 170 pupils)",Grade 5 or above in English & maths GCSEs,97%,Attainment 8 score,72.5,EBacc average point score,6.86,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136455/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
King Edward VI Camp Hill School for Boys,https://www.compare-school-performance.service.gov.uk/school/137045/king-edward-vi-camp-hill-school-for-boys,"98%
(91 of 93 pupils)",Grade 5 or above in English & maths GCSEs,98%,Attainment 8 score,82.8,EBacc average point score,8.14,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137045/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Rushey Mead Academy,https://www.compare-school-performance.service.gov.uk/school/141916/rushey-mead-academy,"96%
(256 of 267 pupils)",Grade 5 or above in English & maths GCSEs,60%,Attainment 8 score,54,EBacc average point score,5.19,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/141916/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
St George's School,https://www.compare-school-performance.service.gov.uk/school/138356/st-george's-school,"97%
(191 of 196 pupils)",Grade 5 or above in English & maths GCSEs,83%,Attainment 8 score,66.4,EBacc average point score,5.85,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/138356/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Paddington Academy,https://www.compare-school-performance.service.gov.uk/school/130912/paddington-academy,"90%
(165 of 184 pupils)",Grade 5 or above in English & maths GCSEs,57%,Attainment 8 score,54.6,EBacc average point score,5.3,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/130912/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Moseley Park,https://www.compare-school-performance.service.gov.uk/school/138098/moseley-park,"85%
(72 of 85 pupils)",Grade 5 or above in English & maths GCSEs,31%,Attainment 8 score,51.4,EBacc average point score,3.37,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/138098/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Glenmoor Academy,https://www.compare-school-performance.service.gov.uk/school/140008/glenmoor-academy,"95%
(94 of 99 pupils)",Grade 5 or above in English & maths GCSEs,68%,Attainment 8 score,53.3,EBacc average point score,4.73,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/140008/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
The Holt School,https://www.compare-school-performance.service.gov.uk/school/136880/the-holt-school,"98%
(191 of 194 pupils)",Grade 5 or above in English & maths GCSEs,74%,Attainment 8 score,60.7,EBacc average point score,5.52,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136880/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Harris Academy Bermondsey,https://www.compare-school-performance.service.gov.uk/school/131747/harris-academy-bermondsey,"96%
(153 of 160 pupils)",Grade 5 or above in English & maths GCSEs,45%,Attainment 8 score,53.4,EBacc average point score,5.16,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/131747/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
The Piggott School,https://www.compare-school-performance.service.gov.uk/school/136891/the-piggott-school,"98%
(189 of 192 pupils)",Grade 5 or above in English & maths GCSEs,70%,Attainment 8 score,60.1,EBacc average point score,5.52,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136891/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Ripon Grammar School,https://www.compare-school-performance.service.gov.uk/school/121694/ripon-grammar-school,"99%
(129 of 130 pupils)",Grade 5 or above in English & maths GCSEs,99%,Attainment 8 score,72.5,EBacc average point score,6.92,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/121694/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
St Peter's Catholic School,https://www.compare-school-performance.service.gov.uk/school/125276/st-peter's-catholic-school,"97%
(171 of 176 pupils)",Grade 5 or above in English & maths GCSEs,69%,Attainment 8 score,61.9,EBacc average point score,5.49,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/125276/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
St Michael's Catholic Grammar School,https://www.compare-school-performance.service.gov.uk/school/101361/st-michael's-catholic-grammar-school,"100%
(95 of 95 pupils)",Grade 5 or above in English & maths GCSEs,99%,Attainment 8 score,77.6,EBacc average point score,7.51,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/101361/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
"Salesian School, Chertsey",https://www.compare-school-performance.service.gov.uk/school/143367/salesian-school%2c-chertsey,"97%
(216 of 222 pupils)",Grade 5 or above in English & maths GCSEs,72%,Attainment 8 score,60.1,EBacc average point score,5.08,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/143367/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Grays Convent High School,https://www.compare-school-performance.service.gov.uk/school/115239/grays-convent-high-school,"95%
(108 of 114 pupils)",Grade 5 or above in English & maths GCSEs,44%,Attainment 8 score,52.4,EBacc average point score,4.6,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/115239/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Riverside School,https://www.compare-school-performance.service.gov.uk/school/139791/riverside-school,"94%
(104 of 111 pupils)",Grade 5 or above in English & maths GCSEs,60%,Attainment 8 score,54.6,EBacc average point score,5.11,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/139791/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Parkstone Grammar School,https://www.compare-school-performance.service.gov.uk/school/136368/parkstone-grammar-school,"98%
(169 of 172 pupils)",Grade 5 or above in English & maths GCSEs,91%,Attainment 8 score,70.5,EBacc average point score,6.57,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136368/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Harris Academy Battersea,https://www.compare-school-performance.service.gov.uk/school/140985/harris-academy-battersea,"97%
(106 of 109 pupils)",Grade 5 or above in English & maths GCSEs,54%,Attainment 8 score,54.4,EBacc average point score,4.89,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/140985/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
St Thomas More Catholic Comprehensive School,https://www.compare-school-performance.service.gov.uk/school/141716/st-thomas-more-catholic-comprehensive-school,"99%
(115 of 116 pupils)",Grade 5 or above in English & maths GCSEs,62%,Attainment 8 score,59.1,EBacc average point score,5.29,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/141716/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Kesteven and Grantham Girls' School,https://www.compare-school-performance.service.gov.uk/school/138638/kesteven-and-grantham-girls'-school,"99%
(170 of 172 pupils)",Grade 5 or above in English & maths GCSEs,91%,Attainment 8 score,69.7,EBacc average point score,6.36,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/138638/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Altrincham Grammar School for Girls,https://www.compare-school-performance.service.gov.uk/school/137289/altrincham-grammar-school-for-girls,"100%
(173 of 173 pupils)",Grade 5 or above in English & maths GCSEs,99%,Attainment 8 score,78.6,EBacc average point score,7.77,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137289/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
The Henrietta Barnett School,https://www.compare-school-performance.service.gov.uk/school/138051/the-henrietta-barnett-school,"99%
(92 of 93 pupils)",Grade 5 or above in English & maths GCSEs,100%,Attainment 8 score,85.2,EBacc average point score,8.43,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/138051/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Denmark Road High School,https://www.compare-school-performance.service.gov.uk/school/136666/denmark-road-high-school,"100%
(116 of 116 pupils)",Grade 5 or above in English & maths GCSEs,95%,Attainment 8 score,75.9,EBacc average point score,7.27,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136666/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Stroud High School,https://www.compare-school-performance.service.gov.uk/school/136874/stroud-high-school,"100%
(124 of 124 pupils)",Grade 5 or above in English & maths GCSEs,95%,Attainment 8 score,75.7,EBacc average point score,6.97,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136874/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Twyford Church of England High School,https://www.compare-school-performance.service.gov.uk/school/137546/twyford-church-of-england-high-school,"97%
(181 of 187 pupils)",Grade 5 or above in English & maths GCSEs,77%,Attainment 8 score,64,EBacc average point score,6.05,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137546/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Harris Academy Chafford Hundred,https://www.compare-school-performance.service.gov.uk/school/137549/harris-academy-chafford-hundred,"96%
(172 of 180 pupils)",Grade 5 or above in English & maths GCSEs,61%,Attainment 8 score,55.4,EBacc average point score,5.01,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137549/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Copthall School,https://www.compare-school-performance.service.gov.uk/school/138685/copthall-school,"95%
(164 of 172 pupils)",Grade 5 or above in English & maths GCSEs,51%,Attainment 8 score,52.6,EBacc average point score,4.55,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/138685/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Coloma Convent Girls' School,https://www.compare-school-performance.service.gov.uk/school/101823/coloma-convent-girls'-school,"99%
(150 of 152 pupils)",Grade 5 or above in English & maths GCSEs,72%,Attainment 8 score,62,EBacc average point score,5.78,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/101823/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Rosebery School,https://www.compare-school-performance.service.gov.uk/school/137736/rosebery-school,"99%
(236 of 239 pupils)",Grade 5 or above in English & maths GCSEs,74%,Attainment 8 score,62.6,EBacc average point score,5.92,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137736/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Ilford County High School,https://www.compare-school-performance.service.gov.uk/school/102850/ilford-county-high-school,"98%
(115 of 117 pupils)",Grade 5 or above in English & maths GCSEs,96%,Attainment 8 score,75.5,EBacc average point score,7.31,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/102850/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Bennett Memorial Diocesan School,https://www.compare-school-performance.service.gov.uk/school/136603/bennett-memorial-diocesan-school,"98%
(221 of 226 pupils)",Grade 5 or above in English & maths GCSEs,56%,Attainment 8 score,54.2,EBacc average point score,4.9,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136603/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=2&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
,,40%,,"94%
(497037 of 528139 pupils)",,43%,,46.7,,,,
,,37%,,40%,,,,44.7,,,,
St Bernard's High School,https://www.compare-school-performance.service.gov.uk/school/137312/st-bernard's-high-school,"94%
(135 of 143 pupils)",Grade 5 or above in English & maths GCSEs,59%,Attainment 8 score,56.2,EBacc average point score,5.02,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/137312/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
St Anne's Catholic High School for Girls,https://www.compare-school-performance.service.gov.uk/school/102053/st-anne's-catholic-high-school-for-girls,"95%
(159 of 167 pupils)",Grade 5 or above in English & maths GCSEs,64%,Attainment 8 score,57,EBacc average point score,5.29,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/102053/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Brampton Manor Academy,https://www.compare-school-performance.service.gov.uk/school/136669/brampton-manor-academy,"96%
(250 of 261 pupils)",Grade 5 or above in English & maths GCSEs,52%,Attainment 8 score,56.1,EBacc average point score,5.08,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136669/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
St Olave's and St Saviour's Grammar School,https://www.compare-school-performance.service.gov.uk/school/101676/st-olave's-and-st-saviour's-grammar-school,"99%
(114 of 115 pupils)",Grade 5 or above in English & maths GCSEs,99%,Attainment 8 score,83,EBacc average point score,8.18,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/101676/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
St Ursula's Convent School,https://www.compare-school-performance.service.gov.uk/school/100193/st-ursula's-convent-school,"99%
(113 of 114 pupils)",Grade 5 or above in English & maths GCSEs,63%,Attainment 8 score,59.3,EBacc average point score,5.41,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/100193/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Altrincham Grammar School for Boys,https://www.compare-school-performance.service.gov.uk/school/136458/altrincham-grammar-school-for-boys,"99%
(175 of 176 pupils)",Grade 5 or above in English & maths GCSEs,97%,Attainment 8 score,78,EBacc average point score,7.24,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136458/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Waldegrave School,https://www.compare-school-performance.service.gov.uk/school/138461/waldegrave-school,"99%
(200 of 202 pupils)",Grade 5 or above in English & maths GCSEs,71%,Attainment 8 score,64.2,EBacc average point score,5.95,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/138461/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Yavneh College,https://www.compare-school-performance.service.gov.uk/school/136922/yavneh-college,"99%
(145 of 147 pupils)",Grade 5 or above in English & maths GCSEs,61%,Attainment 8 score,60.2,EBacc average point score,5.31,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136922/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
St Philomena's Catholic High School for Girls,https://www.compare-school-performance.service.gov.uk/school/103013/st-philomena's-catholic-high-school-for-girls,"97%
(184 of 189 pupils)",Grade 5 or above in English & maths GCSEs,64%,Attainment 8 score,61.2,EBacc average point score,5.65,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/103013/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
Harris Academy Morden,https://www.compare-school-performance.service.gov.uk/school/138495/harris-academy-morden,"91%
(81 of 89 pupils)",Grade 5 or above in English & maths GCSEs,46%,Attainment 8 score,51.3,EBacc average point score,4.62,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/138495/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
"King Edward VI Grammar School, Chelmsford",https://www.compare-school-performance.service.gov.uk/school/136642/king-edward-vi-grammar-school%2c-chelmsford,"100%
(112 of 112 pupils)",Grade 5 or above in English & maths GCSEs,100%,Attainment 8 score,82,EBacc average point score,8.06,My schools list,https://www.compare-school-performance.service.gov.uk/addCompare/136642/defaultTable/schools-by-type?step=default&table=schools&region=all-england&for=secondary&page=3&fbclid=IwAR3hptuJnQ5ebAY0l7bISND3tV43rVypepacS1XxvScd-cRwb9zgtRD-Ggw,Add to,Create
